Data,Cota,Chuva
1908,124,0
2008,122,0
2108,121,0
2208,120,0
2308,118,0
2408,118,0
2508,118,0
2608,118,0
2708,117,0
2808,117,0
2908,166,0
3008,166,0
3108,162,0
0109,128,16.5
0209,128,0
0309,126,0
0409,120,0
0509,120,1.3
0609,119,0
0709,117,0
0809,116,0
0909,116,0
1009,115,0
1109,115,0
1209,115,0
1309,114,0
1409,113,0
1509,113,0
1609,112,0
1709,113,0.6
1809,113,0
1909,112,0
2009,112,0
2109,129,0
2209,120,0
2309,164,31.5
2409,127,0.1
2509,119,0
2609,116,0
2709,114,0
2809,112,0
2909,112,0
3009,135,10.8
3109,,
0110,123,1.1
0210,126,0
0310,115,0
0410,113,0
0510,111,0
0610,110,0
0710,112,0
0810,110,0
0910,108,0
1010,112,1
1110,111,0
1210,108,0
1310,106,0
1410,105,0
1510,105,1.1
1610,115,0
1710,108,0
1810,106,0
1910,104,0
2010,103,0
2110,106,0
2210,104,0
2310,103,0.3
2410,106,9.3
2510,111,0
2610,124,5.2
2710,117,0
2810,112,2.8
2910,128,1.5
3010,124,0.8
3110,,0
0111,107,0
0211,105,0
0311,104,0
0411,103,0
0511,112,6.6
0611,112,0
0711,110,0
0811,117,6
0911,130,5.5
1011,159,3.6
1111,122,0
1211,111,0
1311,109,0
1411,107,0.4
1511,123,0
1611,114,1.8
1711,122,36.4
1811,148,0
1911,202,18.7
2011,168,0
2111,142,4.6
2211,133,1.3
2311,134,0
2411,205,2.9
2511,145,2.4
2611,130,0.5
2711,122,0
2811,118,0
2911,131,8.6
3011,137,12.2
3111,170,
0112,144,1.4
0212,171,26.6
0312,306,30.5
0412,168,0
0512,126,81.4
0612,315,0
0712,215,7
0812,217,0
0912,162,6.7
1012,155,0.7
1112,156,1.7
1212,166,0.8
1312,185,35.4
1412,213,3.1
1512,197,0
1612,162,0
1712,155,3.5
1812,235,46.4
1912,162,0
2012,258,38.8
2112,221,0
2212,183,21.8
2312,202,8.5
2412,166,0
2512,149,0
2612,145,0
2712,140,0
2812,137,0
2912,134,0
3012,132,0
3112,170,0
